Page,ContentType,Content
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","Share:"
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","Guus Remmerswaal"
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","Last updated: January  2, 2025"
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","Table of contents"
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","Creating a comprehensive and impactful sustainability report under the  Corporate Sustainability Reporting Directive (CSRD)  is no small task. For companies aiming to deliver their first report in 2025, the groundwork must begin  at least two years prior to the report’s due date . The bulk of the effort is not in the financial year the report covers but in the years leading up to and following that year, especially during the  preparation phase and when compiling the report itself ."
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","In this second part of our CSRD series, we’ll guide you through the essential double materiality assessment, which should be carried out before the financial year even begins. This critical step helps you determine which sustainability topics are relevant to your business and must be reported."
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","The process of CSRD reporting is a significant undertaking, and there’s much to prepare for. The  European Sustainability Reporting Standard (ESRS)  provides the detailed framework for what companies need to report. At a glance, this document spans nearly  300 pages  of guidelines, and it includes over  80 disclosure requirements  across a wide range of sustainability topics. To give you a sense of scale, this equates to more than  1,100 individual data points  that need to be considered."
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","However, don’t let the sheer volume of data overwhelm you. The good news is that not every company will need to report on every single one of these data points. The key to narrowing down what to report on lies in your  double materiality assessmen t."
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","<img decoding=""async"" class=""wp-image-2435087 aligncenter"" style=""border-radius: 10px;"" src=""https://www.slimstock.com/wp-content/uploads/2024/12/Corporate-Sustainability-Reporting-Directive-CSRD.jpg"" alt=""Corporate Sustainability Reporting Directive (CSRD)"" width=""641"" height=""800"" srcset=""https://www.slimstock.com/wp-content/uploads/2024/12/Corporate-Sustainability-Reporting-Directive-CSRD.jpg 1081w, https://www.slimstock.com/wp-content/uploads/2024/12/Corporate-Sustainability-Reporting-Directive-CSRD-240x300.jpg 240w, https://www.slimstock.com/wp-content/uploads/2024/12/Corporate-Sustainability-Reporting-Directive-CSRD-820x1024.jpg 820w, https://www.slimstock.com/wp-content/uploads/2024/12/Corporate-Sustainability-Reporting-Directive-CSRD-768x959.jpg 768w, https://www.slimstock.com/wp-content/uploads/2024/12/Corporate-Sustainability-Reporting-Directive-CSRD-192x240.jpg 192w"" sizes=""(max-width: 641px) 100vw, 641px"">"
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","The double materiality assessment is the first crucial step in your CSRD reporting process. It helps you decide which ESG topics are material to your company and should be disclosed. Essentially, you need to assess the  inside-out and outside-in  perspectives:"
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","This dual approach is the foundation of the “double materiality” concept."
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","<img decoding=""async"" class=""wp-image-2435098 aligncenter"" style=""border-radius: 10px;"" src=""https://www.slimstock.com/wp-content/uploads/2024/12/The-Double-Materiality-Assessment.jpg"" alt=""The Double Materiality Assessment"" width=""641"" height=""800"" srcset=""https://www.slimstock.com/wp-content/uploads/2024/12/The-Double-Materiality-Assessment.jpg 1081w, https://www.slimstock.com/wp-content/uploads/2024/12/The-Double-Materiality-Assessment-240x300.jpg 240w, https://www.slimstock.com/wp-content/uploads/2024/12/The-Double-Materiality-Assessment-820x1024.jpg 820w, https://www.slimstock.com/wp-content/uploads/2024/12/The-Double-Materiality-Assessment-768x959.jpg 768w, https://www.slimstock.com/wp-content/uploads/2024/12/The-Double-Materiality-Assessment-192x240.jpg 192w"" sizes=""(max-width: 641px) 100vw, 641px"">"
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","To illustrate how the double materiality assessment works, imagine you are an orange farmer in Spain. You use pesticides, which can negatively impact  biodiversity and ecosystems  (ESRS E4). This is an example of an  inside-out  impact—the effect your operations have on the environment."
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","However, you also face challenges due to  climate change —the region where you farm is becoming hotter, and prolonged droughts are affecting your yields. This is an  outside-in  impact, as climate change is influencing your business operations (ESRS E1)."
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","Both of these impacts, the one you create and the one you face, are material and need to be assessed as part of your double materiality analysis."
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","The most significant advantage of conducting a double materiality assessment is that it allows you to focus on what matters most. If a particular topic is deemed not material, you won’t need to include it in your report. This reduces the number of datapoints you must track and report, potentially excluding a large portion of the  1,100 data points  identified in the ESRS."
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","By focusing only on material issues, your sustainability report will be more relevant, concise, and credible, helping you meet the requirements of the CSRD while highlighting the most impactful aspects of your sustainability efforts."
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","The  double materiality assessment  is the foundation of your CSRD report, and it is essential to get it right. By starting early and carefully documenting your processes, you’ll ensure that your sustainability report is both accurate and compliant with CSRD guidelines. In the next part of this series, we will explore the practical steps for compiling your report and how to align your data collection efforts with the final disclosures."
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","Remember, the key to a successful CSRD report lies in preparation. Start early, engage stakeholders, and focus on what truly matters to your company and its stakeholders."
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","Optimize your Sales and Operations Planning (S&OP) strategy. Discover how scenario planning enhances supply chain resilience and agility."
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","16 Mar 2024"
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","S&OP + IBP"
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","Blog"
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","It seems like risk greets you at every turn these days, whether you’re navigating a heavily disrupted supply chain, trying to book a doctor’s appointment, or just getting on a train."
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","25 Jul 2023"
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","Supply Chain Tactics"
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","Blog"
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","Look around the high street or at the swathe of targeted online ads you get this week, and there will be one theme that’s hard to escape Sustainability."
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","30 Jun 2023"
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","Supply Chain Tactics"
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","Blog"
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","Company"
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","Solutions"
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","Resources"
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","Follow us"
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"paragraph","© 2024 Slimstock"
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"heading","How to Start Creating Your CSRD Report: The Importance of Double Materiality Assessment"
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"heading","The Year Before: Preparation Is Key"
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"heading","What Is Double Materiality?"
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"heading","Example: Understanding Double Materiality"
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"heading","Steps for Conducting the Double Materiality Assessment"
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"heading","The Benefits of Double Materiality"
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"heading","Conclusion: Setting Yourself Up for Success"
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"heading","Related posts"
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"heading","A Guide to Scenario Planning: Key Strategies and Examples"
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"heading","6 steps to mitigate supply chain risks"
how-to-start-creating-your-csrd-report-the-importance-of-double-materiality-assessment/,"heading","Supply Chain Sustainability: What Is & Importance"
optimised-service-levels/,"paragraph","Share:"
optimised-service-levels/,"paragraph","Jan Stentoft"
optimised-service-levels/,"paragraph","Last updated: August 30, 2024 | 3 min"
optimised-service-levels/,"paragraph","Table of contents"
optimised-service-levels/,"paragraph","Do you suffer from  stockouts  or  excess stock ? Find out how striking the optimal level of service can transform your supply chain strategy."
